Net Status Report
Filename     : C:\Users\Kuba\Documents\PCB\iot-gateway\iot-gateway.PcbDoc
Date         : 24.02.2018
Time         : 13:48:24
Time Elapsed : 00:00:00

Nets, Layer, Length
    A0, Signal Layers Only, 2262.651mils
    A1, Signal Layers Only, 2311.804mils
    A10, Signal Layers Only, 2562.161mils
    A11, Signal Layers Only, 1761.031mils
    A12, Signal Layers Only, 1057.687mils
    A2, Signal Layers Only, 2360.958mils
    A3, Signal Layers Only, 2422.847mils
    A4, Signal Layers Only, 1857.109mils
    A5, Signal Layers Only, 1876.333mils
    A6, Signal Layers Only, 81.25mils
    A7, Signal Layers Only, 1902.447mils
    A8, Signal Layers Only, 1867.605mils
    A9, Signal Layers Only, 1795.73mils
    BOOT, Signal Layers Only, 103.202mils
    BOOT_SW1, Signal Layers Only, 102.373mils
    BOOT_SW2, Signal Layers Only, 102.373mils
    BOOT_SW3, Signal Layers Only, 102.373mils
    CP_DN, Signal Layers Only, 0mils
    CP_DP, Signal Layers Only, 0mils
    D0, Signal Layers Only, 200.231mils
    D1, Signal Layers Only, 202.393mils
    D10, Signal Layers Only, 1525.91mils
    D11, Signal Layers Only, 1450.247mils
    D12, Signal Layers Only, 1373.994mils
    D13, Signal Layers Only, 113.335mils
    D14, Signal Layers Only, 104.506mils
    D15, Signal Layers Only, 113.126mils
    D2, Signal Layers Only, 78.689mils
    D3, Signal Layers Only, 85.956mils
    D4, Signal Layers Only, 2149.739mils
    D5, Signal Layers Only, 1959.818mils
    D6, Signal Layers Only, 2437.721mils
    D7, Signal Layers Only, 2472.647mils
    D8, Signal Layers Only, 1677.237mils
    D9, Signal Layers Only, 1601.574mils
    ETH_CRS_DV, Signal Layers Only, 1979.524mils
    ETH_LED1, Signal Layers Only, 1421.351mils
    ETH_LED2, Signal Layers Only, 1606.372mils
    ETH_MDC, Signal Layers Only, 2242.522mils
    ETH_MDIO, Signal Layers Only, 1867.324mils
    ETH_REF_CLK, Signal Layers Only, 1948.4mils
    ETH_RXD0, Signal Layers Only, 1940.099mils
    ETH_RXD1, Signal Layers Only, 3152.263mils
    ETH_TXD0, Signal Layers Only, 3210.944mils
    ETH_TXD1, Signal Layers Only, 3231.759mils
    ETH_TX_EN, Signal Layers Only, 3526.296mils
    EXT_GPIO1, Signal Layers Only, 0mils
    EXT_GPIO2, Signal Layers Only, 0mils
    EXT_GPIO3, Signal Layers Only, 0mils
    EXT_GPIO4, Signal Layers Only, 0mils
    EXT_GPIO5, Signal Layers Only, 0mils
    FMC_BA0, Signal Layers Only, 1675.236mils
    FMC_BA1, Signal Layers Only, 81.034mils
    FMC_NBL0, Signal Layers Only, 119.271mils
    FMC_NBL1, Signal Layers Only, 103.096mils
    FMC_SDCKE1, Signal Layers Only, 1626.597mils
    FMC_SDCLK, Signal Layers Only, 81.034mils
    FMC_SDNCAS, Signal Layers Only, 2441.103mils
    FMC_SDNE1, Signal Layers Only, 2441.641mils
    FMC_SDNRAS, Signal Layers Only, 2632.785mils
    FMC_SDNWE, Signal Layers Only, 1666.406mils
    GND, Signal Layers Only, 21829.351mils
    I2C1_SCL, Signal Layers Only, 9883.506mils
    I2C1_SDA, Signal Layers Only, 8791.531mils
    I2C2_SCL, Signal Layers Only, 0mils
    I2C2_SDA, Signal Layers Only, 0mils
